"","GISJOIN","STATE","state_county","YEAR","Mexican","Puerto Rican","Cuban","Dominican Republic","Central American","South American","Other Hispanic or Latino","Total Hispanic or Latino","Central American, Costa Rican","Central American, Guatemalan","Central American, Honduran","Central American, Nicaraguan","Central American, Panamian","Central American, Salvadoran","Central American, Other Central American","South American, Argentinean","South American, Bolivian","South American, Chilean","South American, Colombian","South American, Ecuadorian","South American, Paraguayan","South American, Peruvian","South American, Uruguayan","South American, Venezuelan","South American, Other South American","Other Hispanic or Latino, Spaniard","Other Hispanic or Latino, Spanish","Other Hispanic or Latino, Spanish American","Other Hispanic or Latino, All other Hispanic or Latino","county"
"121","G1700310080200","Illinois","17031",2000,135,29,17,3,4,36,33,257,0,1,1,0,0,2,0,8,2,1,13,2,0,7,0,3,0,6,9,0,18,"Cook"
"122","G1700310080300","Illinois","17031",2000,147,39,12,0,0,22,27,247,0,0,0,0,0,0,0,3,0,3,8,3,0,2,0,3,0,7,2,2,16,"Cook"
"123","G1700310080400","Illinois","17031",2000,48,49,11,1,1,2,33,145,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,31,"Cook"
"124","G1700310080500","Illinois","17031",2000,9,20,2,0,0,1,1,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"Cook"
"125","G1700310080600","Illinois","17031",2000,12,11,0,0,4,2,0,29,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"Cook"
"126","G1700310080700","Illinois","17031",2000,9,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cook"
"127","G1700310080800","Illinois","17031",2000,2,15,0,0,1,4,4,26,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,"Cook"
"128","G1700310080900","Illinois","17031",2000,11,9,3,0,1,1,4,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,"Cook"
"129","G1700310081000","Illinois","17031",2000,141,66,19,1,12,48,68,355,4,2,0,1,4,0,1,6,3,1,13,4,1,5,0,8,7,4,16,0,48,"Cook"
"130","G1700310081100","Illinois","17031",2000,59,31,4,0,6,17,24,141,2,2,0,1,0,1,0,6,1,2,5,0,0,2,0,0,1,5,2,0,17,"Cook"
"131","G1700310081200","Illinois","17031",2000,97,39,14,6,4,43,45,248,0,1,0,1,0,0,2,6,1,4,5,11,0,5,2,0,9,5,14,0,26,"Cook"
"132","G1700310081300","Illinois","17031",2000,54,26,11,0,11,35,17,154,1,1,5,1,3,0,0,4,3,3,7,7,1,3,1,3,3,2,3,0,12,"Cook"
"133","G1700310081400","Illinois","17031",2000,141,52,29,8,18,67,38,353,2,6,1,2,1,4,2,13,2,14,9,2,0,15,2,6,4,3,10,0,25,"Cook"
"134","G1700310081500","Illinois","17031",2000,54,15,25,2,7,18,39,160,0,3,1,0,2,0,1,5,1,1,4,0,0,4,0,1,2,10,6,0,23,"Cook"
"135","G1700310081600","Illinois","17031",2000,66,18,9,1,2,6,15,117,0,1,0,0,1,0,0,2,0,0,2,1,0,0,0,1,0,5,1,0,9,"Cook"
"136","G1700310081700","Illinois","17031",2000,136,23,3,0,0,16,13,191,0,0,0,0,0,0,0,0,1,0,6,6,0,0,0,2,1,1,3,0,9,"Cook"
"137","G1700310081800","Illinois","17031",2000,47,8,7,0,3,27,9,101,1,0,1,0,0,1,0,0,1,3,2,13,0,3,0,5,0,1,1,0,7,"Cook"
